Title,Bucket,Level,Domain,Practice ID,Parent,Task Type,Priority,Owner,Supporting Owners,Dependencies,Labels,Description,Definition of Done
Collect evidence for PE.L2-3.10.4,L2 Physical Protection,Level 2,PE,PE.L2-3.10.4,Complete PE Level 2 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Ryan Lin,Validate PE.L2-3.10.4 Physical Access Logs; Level 2 evidence index,L2;PE;Evidence;PE.L2-3.10.4,Collect artifact and operational proof for PE.L2-3.10.4 Physical Access Logs.,"Evidence for PE.L2-3.10.4 is current, stored, and mapped in the evidence index."
Remediate PE.L2-3.10.4 gaps,L2 Physical Protection,Level 2,PE,PE.L2-3.10.4,Complete PE Level 2 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Ryan Lin,POA&M; evidence review for PE.L2-3.10.4,L2;PE;Remediation;PE.L2-3.10.4,"Close any documentation, implementation, or evidence gaps found for PE.L2-3.10.4 Physical Access Logs.",Gaps for PE.L2-3.10.4 are closed or formally tracked in the POA&M with owner and due date.
Validate PE.L2-3.10.5 Manage Physical Access,L2 Physical Protection,Level 2,PE,PE.L2-3.10.5,Complete PE Level 2 family readiness,Practice,High,Andy Volk,Joshua Hornback; Ryan Lin,PE Level 2 policy and procedure; SSP,L2;PE;Practice;PE.L2-3.10.5,Validate implementation of PE.L2-3.10.5 Manage Physical Access in the live CUI environment.,PE.L2-3.10.5 is implemented or a concrete gap is documented.
Collect evidence for PE.L2-3.10.5,L2 Physical Protection,Level 2,PE,PE.L2-3.10.5,Complete PE Level 2 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Ryan Lin,Validate PE.L2-3.10.5 Manage Physical Access; Level 2 evidence index,L2;PE;Evidence;PE.L2-3.10.5,Collect artifact and operational proof for PE.L2-3.10.5 Manage Physical Access.,"Evidence for PE.L2-3.10.5 is current, stored, and mapped in the evidence index."
Remediate PE.L2-3.10.5 gaps,L2 Physical Protection,Level 2,PE,PE.L2-3.10.5,Complete PE Level 2 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Ryan Lin,POA&M; evidence review for PE.L2-3.10.5,L2;PE;Remediation;PE.L2-3.10.5,"Close any documentation, implementation, or evidence gaps found for PE.L2-3.10.5 Manage Physical Access.",Gaps for PE.L2-3.10.5 are closed or formally tracked in the POA&M with owner and due date.
Validate PE.L2-3.10.6 Alternative Work Sites,L2 Physical Protection,Level 2,PE,PE.L2-3.10.6,Complete PE Level 2 family readiness,Practice,High,Andy Volk,Joshua Hornback; Ryan Lin,PE Level 2 policy and procedure; SSP,L2;PE;Practice;PE.L2-3.10.6,Validate implementation of PE.L2-3.10.6 Alternative Work Sites in the live CUI environment.,PE.L2-3.10.6 is implemented or a concrete gap is documented.
Collect evidence for PE.L2-3.10.6,L2 Physical Protection,Level 2,PE,PE.L2-3.10.6,Complete PE Level 2 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Ryan Lin,Validate PE.L2-3.10.6 Alternative Work Sites; Level 2 evidence index,L2;PE;Evidence;PE.L2-3.10.6,Collect artifact and operational proof for PE.L2-3.10.6 Alternative Work Sites.,"Evidence for PE.L2-3.10.6 is current, stored, and mapped in the evidence index."
Remediate PE.L2-3.10.6 gaps,L2 Physical Protection,Level 2,PE,PE.L2-3.10.6,Complete PE Level 2 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Ryan Lin,POA&M; evidence review for PE.L2-3.10.6,L2;PE;Remediation;PE.L2-3.10.6,"Close any documentation, implementation, or evidence gaps found for PE.L2-3.10.6 Alternative Work Sites.",Gaps for PE.L2-3.10.6 are closed or formally tracked in the POA&M with owner and due date.
Complete RA Level 2 family readiness,L2 Risk Assessment,Level 2,RA,,,Epic,High,Joshua Hornback,Sulaiman Ahmad,Level 2 SSP; owner matrix; evidence index,L2;RA;Epic;Family,"Complete Level 2 RA documentation, implementation validation, evidence, review, and approval.",RA Level 2 family package is complete and traceable to all applicable practices.
Finalize RA Level 2 policy,L2 Risk Assessment,Level 2,RA,,Complete RA Level 2 family readiness,Policy,High,Joshua Hornback,Sulaiman Ahmad,Existing Level 2 templates; SSP,L2;RA;Policy,Tailor the existing Level 2 RA policy to the live CUI environment.,"Policy is approved, environment-specific, and mapped to practices."
Finalize RA Level 2 procedure,L2 Risk Assessment,Level 2,RA,,Complete RA Level 2 family readiness,Procedure,High,Joshua Hornback,Sulaiman Ahmad,Existing Level 2 templates; SSP,L2;RA;Procedure,Tailor the existing Level 2 RA procedure to the live CUI environment.,"Procedure is approved, operationally accurate, and linked to evidence sources."
Validate RA Level 2 family implementation,L2 Risk Assessment,Level 2,RA,,Complete RA Level 2 family readiness,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,RA policy and procedure; SSP,L2;RA;Implementation,"Validate the family-level implementation approach, records, system behavior, and operating cadence for RA.",Family-level implementation checks are complete and deficiencies are recorded.
Collect RA Level 2 family evidence set,L2 Risk Assessment,Level 2,RA,,Complete RA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,RA implementation validation; Level 2 evidence index,L2;RA;Evidence,Assemble the baseline artifact and proof set for the Level 2 RA family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review RA Level 2 family package,L2 Risk Assessment,Level 2,RA,,Complete RA Level 2 family readiness,Review,High,Sulaiman Ahmad,Sulaiman Ahmad,RA family evidence set; POA&M,L2;RA;Review,"Review the full Level 2 RA package for completeness, traceability, and assessment readiness.",The family package passes internal review or has tracked corrective actions.
Approve RA Level 2 family package,L2 Risk Assessment,Level 2,RA,,Complete RA Level 2 family readiness,Approval,High,Ryan Lin,Joshua Hornback,RA family review complete,L2;RA;Approval;Executive,Approve the Level 2 RA package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate RA.L2-3.11.1 Risk Assessments,L2 Risk Assessment,Level 2,RA,RA.L2-3.11.1,Complete RA Level 2 family readiness,Practice,High,Joshua Hornback,Sulaiman Ahmad,RA Level 2 policy and procedure; SSP,L2;RA;Practice;RA.L2-3.11.1,Validate implementation of RA.L2-3.11.1 Risk Assessments in the live CUI environment.,RA.L2-3.11.1 is implemented or a concrete gap is documented.
Collect evidence for RA.L2-3.11.1,L2 Risk Assessment,Level 2,RA,RA.L2-3.11.1,Complete RA Level 2 family readiness,Evidence,High,Joshua Hornback,Sulaiman Ahmad,Validate RA.L2-3.11.1 Risk Assessments; Level 2 evidence index,L2;RA;Evidence;RA.L2-3.11.1,Collect artifact and operational proof for RA.L2-3.11.1 Risk Assessments.,"Evidence for RA.L2-3.11.1 is current, stored, and mapped in the evidence index."
Remediate RA.L2-3.11.1 gaps,L2 Risk Assessment,Level 2,RA,RA.L2-3.11.1,Complete RA Level 2 family readiness,Remediation,High,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for RA.L2-3.11.1,L2;RA;Remediation;RA.L2-3.11.1,"Close any documentation, implementation, or evidence gaps found for RA.L2-3.11.1 Risk Assessments.",Gaps for RA.L2-3.11.1 are closed or formally tracked in the POA&M with owner and due date.
Validate RA.L2-3.11.2 Vulnerability Scan,L2 Risk Assessment,Level 2,RA,RA.L2-3.11.2,Complete RA Level 2 family readiness,Practice,High,Joshua Hornback,Sulaiman Ahmad,RA Level 2 policy and procedure; SSP,L2;RA;Practice;RA.L2-3.11.2,Validate implementation of RA.L2-3.11.2 Vulnerability Scan in the live CUI environment.,RA.L2-3.11.2 is implemented or a concrete gap is documented.
Collect evidence for RA.L2-3.11.2,L2 Risk Assessment,Level 2,RA,RA.L2-3.11.2,Complete RA Level 2 family readiness,Evidence,High,Joshua Hornback,Sulaiman Ahmad,Validate RA.L2-3.11.2 Vulnerability Scan; Level 2 evidence index,L2;RA;Evidence;RA.L2-3.11.2,Collect artifact and operational proof for RA.L2-3.11.2 Vulnerability Scan.,"Evidence for RA.L2-3.11.2 is current, stored, and mapped in the evidence index."
Remediate RA.L2-3.11.2 gaps,L2 Risk Assessment,Level 2,RA,RA.L2-3.11.2,Complete RA Level 2 family readiness,Remediation,High,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for RA.L2-3.11.2,L2;RA;Remediation;RA.L2-3.11.2,"Close any documentation, implementation, or evidence gaps found for RA.L2-3.11.2 Vulnerability Scan.",Gaps for RA.L2-3.11.2 are closed or formally tracked in the POA&M with owner and due date.
Validate RA.L2-3.11.3 Vulnerability Remediation,L2 Risk Assessment,Level 2,RA,RA.L2-3.11.3,Complete RA Level 2 family readiness,Practice,High,Joshua Hornback,Sulaiman Ahmad,RA Level 2 policy and procedure; SSP,L2;RA;Practice;RA.L2-3.11.3,Validate implementation of RA.L2-3.11.3 Vulnerability Remediation in the live CUI environment.,RA.L2-3.11.3 is implemented or a concrete gap is documented.
Collect evidence for RA.L2-3.11.3,L2 Risk Assessment,Level 2,RA,RA.L2-3.11.3,Complete RA Level 2 family readiness,Evidence,High,Joshua Hornback,Sulaiman Ahmad,Validate RA.L2-3.11.3 Vulnerability Remediation; Level 2 evidence index,L2;RA;Evidence;RA.L2-3.11.3,Collect artifact and operational proof for RA.L2-3.11.3 Vulnerability Remediation.,"Evidence for RA.L2-3.11.3 is current, stored, and mapped in the evidence index."
Remediate RA.L2-3.11.3 gaps,L2 Risk Assessment,Level 2,RA,RA.L2-3.11.3,Complete RA Level 2 family readiness,Remediation,High,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for RA.L2-3.11.3,L2;RA;Remediation;RA.L2-3.11.3,"Close any documentation, implementation, or evidence gaps found for RA.L2-3.11.3 Vulnerability Remediation.",Gaps for RA.L2-3.11.3 are closed or formally tracked in the POA&M with owner and due date.
Complete CA Level 2 family readiness,L2 Security Assessment,Level 2,CA,,,Epic,High,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Level 2 SSP; owner matrix; evidence index,L2;CA;Epic;Family,"Complete Level 2 CA documentation, implementation validation, evidence, review, and approval.",CA Level 2 family package is complete and traceable to all applicable practices.
Finalize CA Level 2 policy,L2 Security Assessment,Level 2,CA,,Complete CA Level 2 family readiness,Policy,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Existing Level 2 templates; SSP,L2;CA;Policy,Tailor the existing Level 2 CA policy to the live CUI environment.,"Policy is approved, environment-specific, and mapped to practices."
Finalize CA Level 2 procedure,L2 Security Assessment,Level 2,CA,,Complete CA Level 2 family readiness,Procedure,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Existing Level 2 templates; SSP,L2;CA;Procedure,Tailor the existing Level 2 CA procedure to the live CUI environment.,"Procedure is approved, operationally accurate, and linked to evidence sources."
Validate CA Level 2 family implementation,L2 Security Assessment,Level 2,CA,,Complete CA Level 2 family readiness,Implementation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,CA policy and procedure; SSP,L2;CA;Implementation,"Validate the family-level implementation approach, records, system behavior, and operating cadence for CA.",Family-level implementation checks are complete and deficiencies are recorded.
Collect CA Level 2 family evidence set,L2 Security Assessment,Level 2,CA,,Complete CA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,CA implementation validation; Level 2 evidence index,L2;CA;Evidence,Assemble the baseline artifact and proof set for the Level 2 CA family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review CA Level 2 family package,L2 Security Assessment,Level 2,CA,,Complete CA Level 2 family readiness,Review,High,Sulaiman Ahmad,Andy Volk; Sulaiman Ahmad,CA family evidence set; POA&M,L2;CA;Review,"Review the full Level 2 CA package for completeness, traceability, and assessment readiness.",The family package passes internal review or has tracked corrective actions.
Approve CA Level 2 family package,L2 Security Assessment,Level 2,CA,,Complete CA Level 2 family readiness,Approval,High,Ryan Lin,Joshua Hornback,CA family review complete,L2;CA;Approval;Executive,Approve the Level 2 CA package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate CA.L2-3.12.1 Security Control Assessment,L2 Security Assessment,Level 2,CA,CA.L2-3.12.1,Complete CA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,CA Level 2 policy and procedure; SSP,L2;CA;Practice;CA.L2-3.12.1,Validate implementation of CA.L2-3.12.1 Security Control Assessment in the live CUI environment.,CA.L2-3.12.1 is implemented or a concrete gap is documented.
Collect evidence for CA.L2-3.12.1,L2 Security Assessment,Level 2,CA,CA.L2-3.12.1,Complete CA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate CA.L2-3.12.1 Security Control Assessment; Level 2 evidence index,L2;CA;Evidence;CA.L2-3.12.1,Collect artifact and operational proof for CA.L2-3.12.1 Security Control Assessment.,"Evidence for CA.L2-3.12.1 is current, stored, and mapped in the evidence index."
Remediate CA.L2-3.12.1 gaps,L2 Security Assessment,Level 2,CA,CA.L2-3.12.1,Complete CA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for CA.L2-3.12.1,L2;CA;Remediation;CA.L2-3.12.1,"Close any documentation, implementation, or evidence gaps found for CA.L2-3.12.1 Security Control Assessment.",Gaps for CA.L2-3.12.1 are closed or formally tracked in the POA&M with owner and due date.
Validate CA.L2-3.12.2 Operational Plan of Action,L2 Security Assessment,Level 2,CA,CA.L2-3.12.2,Complete CA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,CA Level 2 policy and procedure; SSP,L2;CA;Practice;CA.L2-3.12.2,Validate implementation of CA.L2-3.12.2 Operational Plan of Action in the live CUI environment.,CA.L2-3.12.2 is implemented or a concrete gap is documented.
Collect evidence for CA.L2-3.12.2,L2 Security Assessment,Level 2,CA,CA.L2-3.12.2,Complete CA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate CA.L2-3.12.2 Operational Plan of Action; Level 2 evidence index,L2;CA;Evidence;CA.L2-3.12.2,Collect artifact and operational proof for CA.L2-3.12.2 Operational Plan of Action.,"Evidence for CA.L2-3.12.2 is current, stored, and mapped in the evidence index."
Remediate CA.L2-3.12.2 gaps,L2 Security Assessment,Level 2,CA,CA.L2-3.12.2,Complete CA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for CA.L2-3.12.2,L2;CA;Remediation;CA.L2-3.12.2,"Close any documentation, implementation, or evidence gaps found for CA.L2-3.12.2 Operational Plan of Action.",Gaps for CA.L2-3.12.2 are closed or formally tracked in the POA&M with owner and due date.
Validate CA.L2-3.12.3 Security Control Monitoring,L2 Security Assessment,Level 2,CA,CA.L2-3.12.3,Complete CA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,CA Level 2 policy and procedure; SSP,L2;CA;Practice;CA.L2-3.12.3,Validate implementation of CA.L2-3.12.3 Security Control Monitoring in the live CUI environment.,CA.L2-3.12.3 is implemented or a concrete gap is documented.
Collect evidence for CA.L2-3.12.3,L2 Security Assessment,Level 2,CA,CA.L2-3.12.3,Complete CA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate CA.L2-3.12.3 Security Control Monitoring; Level 2 evidence index,L2;CA;Evidence;CA.L2-3.12.3,Collect artifact and operational proof for CA.L2-3.12.3 Security Control Monitoring.,"Evidence for CA.L2-3.12.3 is current, stored, and mapped in the evidence index."
Remediate CA.L2-3.12.3 gaps,L2 Security Assessment,Level 2,CA,CA.L2-3.12.3,Complete CA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for CA.L2-3.12.3,L2;CA;Remediation;CA.L2-3.12.3,"Close any documentation, implementation, or evidence gaps found for CA.L2-3.12.3 Security Control Monitoring.",Gaps for CA.L2-3.12.3 are closed or formally tracked in the POA&M with owner and due date.
Validate CA.L2-3.12.4 System Security Plan,L2 Security Assessment,Level 2,CA,CA.L2-3.12.4,Complete CA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,CA Level 2 policy and procedure; SSP,L2;CA;Practice;CA.L2-3.12.4,Validate implementation of CA.L2-3.12.4 System Security Plan in the live CUI environment.,CA.L2-3.12.4 is implemented or a concrete gap is documented.
Collect evidence for CA.L2-3.12.4,L2 Security Assessment,Level 2,CA,CA.L2-3.12.4,Complete CA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate CA.L2-3.12.4 System Security Plan; Level 2 evidence index,L2;CA;Evidence;CA.L2-3.12.4,Collect artifact and operational proof for CA.L2-3.12.4 System Security Plan.,"Evidence for CA.L2-3.12.4 is current, stored, and mapped in the evidence index."
Remediate CA.L2-3.12.4 gaps,L2 Security Assessment,Level 2,CA,CA.L2-3.12.4,Complete CA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for CA.L2-3.12.4,L2;CA;Remediation;CA.L2-3.12.4,"Close any documentation, implementation, or evidence gaps found for CA.L2-3.12.4 System Security Plan.",Gaps for CA.L2-3.12.4 are closed or formally tracked in the POA&M with owner and due date.
Complete SC Level 2 family readiness,L2 System & Comms Protection,Level 2,SC,,,Epic,High,Joshua Hornback,Sulaiman Ahmad,Level 2 SSP; owner matrix; evidence index,L2;SC;Epic;Family,"Complete Level 2 SC documentation, implementation validation, evidence, review, and approval.",SC Level 2 family package is complete and traceable to all applicable practices.
Finalize SC Level 2 policy,L2 System & Comms Protection,Level 2,SC,,Complete SC Level 2 family readiness,Policy,Critical,Joshua Hornback,Sulaiman Ahmad,L2 gap register; SSP; existing templates,L2;SC;Policy,Create and tailor the Level 2 SC policy to the live CUI environment.,"Policy is approved, environment-specific, and mapped to practices."
Finalize SC Level 2 procedure,L2 System & Comms Protection,Level 2,SC,,Complete SC Level 2 family readiness,Procedure,Critical,Joshua Hornback,Sulaiman Ahmad,L2 gap register; SSP; existing templates,L2;SC;Procedure,Create and tailor the Level 2 SC procedure to the live CUI environment.,"Procedure is approved, operationally accurate, and linked to evidence sources."
Validate SC Level 2 family implementation,L2 System & Comms Protection,Level 2,SC,,Complete SC Level 2 family readiness,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,SC policy and procedure; SSP,L2;SC;Implementation,"Validate the family-level implementation approach, records, system behavior, and operating cadence for SC.",Family-level implementation checks are complete and deficiencies are recorded.
Collect SC Level 2 family evidence set,L2 System & Comms Protection,Level 2,SC,,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,SC implementation validation; Level 2 evidence index,L2;SC;Evidence,Assemble the baseline artifact and proof set for the Level 2 SC family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review SC Level 2 family package,L2 System & Comms Protection,Level 2,SC,,Complete SC Level 2 family readiness,Review,High,Sulaiman Ahmad,Sulaiman Ahmad,SC family evidence set; POA&M,L2;SC;Review,"Review the full Level 2 SC package for completeness, traceability, and assessment readiness.",The family package passes internal review or has tracked corrective actions.
Approve SC Level 2 family package,L2 System & Comms Protection,Level 2,SC,,Complete SC Level 2 family readiness,Approval,High,Ryan Lin,Joshua Hornback,SC family review complete,L2;SC;Approval;Executive,Approve the Level 2 SC package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate SC.L2-3.13.1 Boundary Protection,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.1,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.1,Validate implementation of SC.L2-3.13.1 Boundary Protection in the live CUI environment.,SC.L2-3.13.1 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.1,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.1,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.1 Boundary Protection; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.1,Collect artifact and operational proof for SC.L2-3.13.1 Boundary Protection.,"Evidence for SC.L2-3.13.1 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.1 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.1,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.1,L2;SC;Remediation;SC.L2-3.13.1,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.1 Boundary Protection.",Gaps for SC.L2-3.13.1 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.2 Security Engineering,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.2,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.2,Validate implementation of SC.L2-3.13.2 Security Engineering in the live CUI environment.,SC.L2-3.13.2 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.2,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.2,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.2 Security Engineering; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.2,Collect artifact and operational proof for SC.L2-3.13.2 Security Engineering.,"Evidence for SC.L2-3.13.2 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.2 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.2,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.2,L2;SC;Remediation;SC.L2-3.13.2,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.2 Security Engineering.",Gaps for SC.L2-3.13.2 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.3 Role Separation,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.3,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.3,Validate implementation of SC.L2-3.13.3 Role Separation in the live CUI environment.,SC.L2-3.13.3 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.3,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.3,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.3 Role Separation; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.3,Collect artifact and operational proof for SC.L2-3.13.3 Role Separation.,"Evidence for SC.L2-3.13.3 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.3 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.3,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.3,L2;SC;Remediation;SC.L2-3.13.3,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.3 Role Separation.",Gaps for SC.L2-3.13.3 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.4 Shared Resource Control,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.4,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.4,Validate implementation of SC.L2-3.13.4 Shared Resource Control in the live CUI environment.,SC.L2-3.13.4 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.4,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.4,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.4 Shared Resource Control; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.4,Collect artifact and operational proof for SC.L2-3.13.4 Shared Resource Control.,"Evidence for SC.L2-3.13.4 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.4 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.4,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.4,L2;SC;Remediation;SC.L2-3.13.4,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.4 Shared Resource Control.",Gaps for SC.L2-3.13.4 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.5 Public-Access System Separation,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.5,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.5,Validate implementation of SC.L2-3.13.5 Public-Access System Separation in the live CUI environment.,SC.L2-3.13.5 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.5,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.5,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.5 Public-Access System Separation; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.5,Collect artifact and operational proof for SC.L2-3.13.5 Public-Access System Separation.,"Evidence for SC.L2-3.13.5 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.5 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.5,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.5,L2;SC;Remediation;SC.L2-3.13.5,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.5 Public-Access System Separation.",Gaps for SC.L2-3.13.5 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.6 Network Communication by Exception,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.6,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.6,Validate implementation of SC.L2-3.13.6 Network Communication by Exception in the live CUI environment.,SC.L2-3.13.6 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.6,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.6,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.6 Network Communication by Exception; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.6,Collect artifact and operational proof for SC.L2-3.13.6 Network Communication by Exception.,"Evidence for SC.L2-3.13.6 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.6 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.6,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.6,L2;SC;Remediation;SC.L2-3.13.6,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.6 Network Communication by Exception.",Gaps for SC.L2-3.13.6 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.7 Split Tunneling,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.7,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.7,Validate implementation of SC.L2-3.13.7 Split Tunneling in the live CUI environment.,SC.L2-3.13.7 is implemented or a concrete gap is documented.
